system:index,Greenup_1,MidGreenup_1,Peak_1,datetime,google:max_source_file_timestamp,location,timestamp,year,.geo
2015_01_01_00000000000000000000,16532.35294117647,16579.470588235294,16642.0,2015-01-01 00:00:00,1.563986379E12,AM-423-NW,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.58369571208226,55.8184701982203],[-110.58210446601873,55.8184701982203],[-110.58210446601873,55.81936991190784],[-110.58369571208226,55.81936991190784],[-110.58369571208226,55.8184701982203]]]}"
2015_01_01_00000000000000000001,16528.0,16554.0,16620.0,2015-01-01 00:00:00,1.563986379E12,AM-425-NE,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.14327952579288,55.93094210409134],[-111.14168366377643,55.93094210409134],[-111.14168366377643,55.9318418177789],[-111.14327952579288,55.9318418177789],[-111.14327952579288,55.93094210409134]]]}"
2015_01_01_00000000000000000002,16544.0,16583.0,16629.0,2015-01-01 00:00:00,1.563986379E12,AM-426-NE,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.52194311698335,55.89155040538521],[-110.52034887538265,55.89155040538521],[-110.52034887538265,55.89245011907275],[-110.52194311698335,55.89245011907275],[-110.52194311698335,55.89155040538521]]]}"
2015_01_01_00000000000000000003,16561.0,16582.0,16623.0,2015-01-01 00:00:00,1.563986379E12,OG-4-12-A,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.22534295790943,54.60509975146616],[-110.22379949295342,54.60509975146616],[-110.22379949295342,54.60599946515362],[-110.22534295790943,54.60599946515362],[-110.22534295790943,54.60509975146616]]]}"
2015_01_01_00000000000000000004,16563.823529411766,16582.70588235294,16619.470588235294,2015-01-01 00:00:00,1.563986379E12,OG-4-12-C,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.22887460822953,54.60733376109395],[-110.22733105856747,54.60733376109395],[-110.22733105856747,54.6082334747814],[-110.22887460822953,54.6082334747814],[-110.22887460822953,54.60733376109395]]]}"
2015_01_01_00000000000000000005,16557.0,16581.0,16621.0,2015-01-01 00:00:00,1.563986379E12,OG-4-12-D,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.22530294265862,54.61126222912202],[-110.22375924401419,54.61126222912202],[-110.22375924401419,54.61216194280949],[-110.22530294265862,54.61216194280949],[-110.22530294265862,54.61126222912202]]]}"
2015_01_01_00000000000000000006,16560.0,16582.0,16621.0,2015-01-01 00:00:00,1.563986379E12,BG-4-56,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.85167598539525,55.45975781397586],[-110.85009924415986,55.45975781397586],[-110.85009924415986,55.46065752766338],[-110.85167598539525,55.46065752766338],[-110.85167598539525,55.45975781397586]]]}"
2015_01_01_00000000000000000007,16564.0,16583.0,16625.0,2015-01-01 00:00:00,1.563986379E12,OG-4-11-E,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.21134123311116,54.597305242824746],[-110.20979806360516,54.597305242824746],[-110.20979806360516,54.5982049565122],[-110.21134123311116,54.5982049565122],[-110.21134123311116,54.597305242824746]]]}"
2015_01_01_00000000000000000008,16546.666666666668,16583.666666666664,16637.5,2015-01-01 00:00:00,1.563986379E12,Y-23-264-A,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.24875081146614,57.387039257588725],[-111.24709208529642,57.387039257588725],[-111.24709208529642,57.387938971276384],[-111.24875081146614,57.387938971276384],[-111.24875081146614,57.387039257588725]]]}"
2015_01_01_00000000000000000009,16564.0,16583.0,16618.0,2015-01-01 00:00:00,1.563986379E12,OG-2-8-B,1.4200704E12,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.95386760656584,54.6672016518375],[-110.95232178257314,54.6672016518375],[-110.95232178257314,54.66810136552496],[-110.95386760656584,54.66810136552496],[-110.95386760656584,54.6672016518375]]]}"
