system:index,Greenup_1,MidGreenup_1,Peak_1,datetime,google:max_source_file_timestamp,location,timestamp,.geo
2015_01_01_00000000000000000000,16529.0,16575.0,16635.0,2015-01-01 00:00:00,1.563986379E12,538,1.4200704E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-112.45363054516173,56.548982428301],[-112.45200871970422,56.548982428301],[-112.45200871970422,56.549882141988604],[-112.45363054516173,56.549882141988604],[-112.45363054516173,56.548982428301]]]}"
2015_01_01_00000000000000000001,16571.0,16586.0,16613.0,2015-01-01 00:00:00,1.563986379E12,122,1.4200704E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.10844634908854,58.934779855936476],[-111.10671385561409,58.934779855936476],[-111.10671385561409,58.93567956962428],[-111.10844634908854,58.93567956962428],[-111.10844634908854,58.934779855936476]]]}"
2015_01_01_00000000000000000003,16534.555555555555,16573.444444444445,16633.777777777777,2015-01-01 00:00:00,1.563986379E12,272,1.4200704E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.46712003773082,57.99314702737935],[-110.46543333087558,57.99314702737935],[-110.46543333087558,57.994046741067066],[-110.46712003773082,57.994046741067066],[-110.46712003773082,57.99314702737935]]]}"
2015_01_01_00000000000000000004,16533.555555555555,16583.444444444445,16645.777777777777,2015-01-01 00:00:00,1.563986379E12,301,1.4200704E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.83991018294451,57.81860443484433],[-110.83823164938417,57.81860443484433],[-110.83823164938417,57.81950414853205],[-110.83991018294451,57.81950414853205],[-110.83991018294451,57.81860443484433]]]}"
2015_01_01_00000000000000000005,16544.533333333333,16581.266666666666,16634.933333333334,2015-01-01 00:00:00,1.563986379E12,1539,1.4200704E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.80946817185219,50.22147344245119],[-111.80807092828557,50.22147344245119],[-111.80807092828557,50.22237315613837],[-111.80946817185219,50.22237315613837],[-111.80946817185219,50.22147344245119]]]}"
2015_01_01_00000000000000000007,16568.0,16589.0,16644.0,2015-01-01 00:00:00,1.563986379E12,64,1.4200704E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.28495624630199,59.31913207123822],[-111.28320420314708,59.31913207123822],[-111.28320420314708,59.320031784926044],[-111.28495624630199,59.320031784926044],[-111.28495624630199,59.31913207123822]]]}"
2015_01_01_00000000000000000008,16574.0,16586.0,16636.0,2015-01-01 00:00:00,1.563986379E12,92,1.4200704E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.37297998541472,59.18737009420997],[-111.37123470256321,59.18737009420997],[-111.37123470256321,59.188269807897775],[-111.37297998541472,59.188269807897775],[-111.37297998541472,59.18737009420997]]]}"
