system:index,Greenup_1,MidGreenup_1,Peak_1,datetime,google:max_source_file_timestamp,location,timestamp,year,.geo
2017_01_01_00000000000000000000,17279.0,17301.0,17348.0,2017-01-01 00:00:00,1.564586845E12,BG-13-6,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-112.00157239825829,55.071873990639794],[-112.00001097854627,55.071873990639794],[-112.00001097854627,55.072773704327275],[-112.00157239825829,55.072773704327275],[-112.00157239825829,55.071873990639794]]]}"
2017_01_01_00000000000000000001,17265.0,17309.0,17351.0,2017-01-01 00:00:00,1.564586845E12,AM-441-NW,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.77489129407637,55.161809599786736],[-111.77332635483377,55.161809599786736],[-111.77332635483377,55.16270931347423],[-111.77489129407637,55.16270931347423],[-111.77489129407637,55.161809599786736]]]}"
2017_01_01_00000000000000000002,17279.0,17305.0,17351.0,2017-01-01 00:00:00,1.564586845E12,AM-442-CT,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.75852489478096,55.085139816273795],[-111.756962957163,55.085139816273795],[-111.756962957163,55.08603952996128],[-111.75852489478096,55.08603952996128],[-111.75852489478096,55.085139816273795]]]}"
2017_01_01_00000000000000000003,17283.0,17312.0,17352.0,2017-01-01 00:00:00,1.564586845E12,AM-442-NW,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.76272541840292,55.08772609488479],[-111.76116337976532,55.08772609488479],[-111.76116337976532,55.08862580857228],[-111.76272541840292,55.08862580857228],[-111.76272541840292,55.08772609488479]]]}"
2017_01_01_00000000000000000004,17282.0,17307.0,17349.0,2017-01-01 00:00:00,1.564586845E12,AM-442-SE,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.75361983320066,55.0825535376628],[-111.75205799658612,55.0825535376628],[-111.75205799658612,55.08345325135029],[-111.75361983320066,55.08345325135029],[-111.75361983320066,55.0825535376628]]]}"
2017_01_01_00000000000000000005,17270.0,17309.0,17351.0,2017-01-01 00:00:00,1.564586845E12,AM-442-SW,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.76332729297772,55.08238855092382],[-111.76176546280597,55.08238855092382],[-111.76176546280597,55.08328826461131],[-111.76332729297772,55.08328826461131],[-111.76332729297772,55.08238855092382]]]}"
2017_01_01_00000000000000000006,17260.0,17308.0,17358.0,2017-01-01 00:00:00,1.564586845E12,RS-19-NW,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-112.14387346005223,54.95698971109882],[-112.14231650768299,54.95698971109882],[-112.14231650768299,54.9578894247863],[-112.14387346005223,54.9578894247863],[-112.14387346005223,54.95698971109882]]]}"
2017_01_01_00000000000000000007,17267.70588235294,17300.176470588234,17360.352941176472,2017-01-01 00:00:00,1.564586845E12,Y-31-331-CT,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.54952314692704,55.915419973324305],[-110.54792792391164,55.915419973324305],[-110.54792792391164,55.91631968701186],[-110.54952314692704,55.91631968701186],[-110.54952314692704,55.915419973324305]]]}"
2017_01_01_00000000000000000008,17263.0,17299.0,17362.0,2017-01-01 00:00:00,1.564586845E12,Y-31-331-NE,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.54563486567747,55.91809097485532],[-110.5440395327495,55.91809097485532],[-110.5440395327495,55.918990688542856],[-110.54563486567747,55.918990688542856],[-110.54563486567747,55.91809097485532]]]}"
2017_01_01_00000000000000000009,17253.0,17300.0,17366.0,2017-01-01 00:00:00,1.564586845E12,Y-31-331-NW,1.4832288E12,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.55518626086683,55.91812664766374],[-110.55359092647079,55.91812664766374],[-110.55359092647079,55.919026361351285],[-110.55518626086683,55.919026361351285],[-110.55518626086683,55.91812664766374]]]}"
