system:index,Greenup_1,MidGreenup_1,Peak_1,datetime,google:max_source_file_timestamp,location,timestamp,year,.geo
2018_01_01_00000000000000000000,17651.25,17670.0,17710.25,2018-01-01 00:00:00,1.595182911E12,BG-17-83,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.96629412534254,54.75166148489082],[-118.96474507848971,54.75166148489082],[-118.96474507848971,54.752561198578285],[-118.96629412534254,54.752561198578285],[-118.96629412534254,54.75166148489082]]]}"
2018_01_01_00000000000000000001,17652.0,17680.0,17725.0,2018-01-01 00:00:00,1.595182911E12,Y-23-288-CT,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.3582156458207,57.31437374682177],[-111.35656019967267,57.31437374682177],[-111.35656019967267,57.31527346050943],[-111.3582156458207,57.31527346050943],[-111.3582156458207,57.31437374682177]]]}"
2018_01_01_00000000000000000009,17655.0,17674.0,17718.0,2018-01-01 00:00:00,1.595182911E12,676-SW,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.71240321442804,56.16119670518812],[-118.71079779912326,56.16119670518812],[-118.71079779912326,56.162096418875684],[-118.71240321442804,56.162096418875684],[-118.71240321442804,56.16119670518812]]]}"
2018_01_01_0000000000000000000a,17655.0,17674.0,17718.0,2018-01-01 00:00:00,1.595182911E12,676-SE,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.71240321442804,56.16119670518812],[-118.71079779912326,56.16119670518812],[-118.71079779912326,56.162096418875684],[-118.71240321442804,56.162096418875684],[-118.71240321442804,56.16119670518812]]]}"
2018_01_01_00000000000000000014,17655.0,17674.0,17718.0,2018-01-01 00:00:00,1.595182911E12,676-NW,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-118.71240321442804,56.16119670518812],[-118.71079779912326,56.16119670518812],[-118.71079779912326,56.162096418875684],[-118.71240321442804,56.162096418875684],[-118.71240321442804,56.16119670518812]]]}"
2018_01_01_0000000000000000000b,17649.0,17672.0,17748.0,2018-01-01 00:00:00,1.595182911E12,469-NE,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-114.57462727022123,57.09699702956735],[-114.57298154343925,57.09699702956735],[-114.57298154343925,57.097896743254985],[-114.57462727022123,57.097896743254985],[-114.57462727022123,57.09699702956735]]]}"
2018_01_01_0000000000000000000c,17649.0,17672.0,17748.0,2018-01-01 00:00:00,1.595182911E12,469-NW,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-114.57462727022123,57.09699702956735],[-114.57298154343925,57.09699702956735],[-114.57298154343925,57.097896743254985],[-114.57462727022123,57.097896743254985],[-114.57462727022123,57.09699702956735]]]}"
2018_01_01_00000000000000000010,17641.0,17675.0,17722.0,2018-01-01 00:00:00,1.595182911E12,1235-SE,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.28608616541428,52.86391443121779],[-116.28460534298009,52.86391443121779],[-116.28460534298009,52.864814144905125],[-116.28608616541428,52.864814144905125],[-116.28608616541428,52.86391443121779]]]}"
2018_01_01_00000000000000000012,17641.0,17675.0,17722.0,2018-01-01 00:00:00,1.595182911E12,1235-NW,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.28608616541428,52.86391443121779],[-116.28460534298009,52.86391443121779],[-116.28460534298009,52.864814144905125],[-116.28608616541428,52.864814144905125],[-116.28608616541428,52.86391443121779]]]}"
2018_01_01_00000000000000000013,17641.0,17675.0,17722.0,2018-01-01 00:00:00,1.595182911E12,1235-SW,1.5147648E12,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-116.28608616541428,52.86391443121779],[-116.28460534298009,52.86391443121779],[-116.28460534298009,52.864814144905125],[-116.28608616541428,52.864814144905125],[-116.28608616541428,52.86391443121779]]]}"
