system:index,Greenup_1,MidGreenup_1,Peak_1,datetime,google:max_source_file_timestamp,location,timestamp,year,.geo
2016_01_01_00000000000000000000,16941.0,16959.0,16990.0,2016-01-01 00:00:00,1.563982989E12,BG-6-32,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.89189917934826,56.21695776386146],[-110.89029142936575,56.21695776386146],[-110.89029142936575,56.21785747754903],[-110.89189917934826,56.21785747754903],[-110.89189917934826,56.21695776386146]]]}"
2016_01_01_00000000000000000001,16923.0,16944.0,16992.0,2016-01-01 00:00:00,1.563982989E12,BG-6-53,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.88107715955086,56.22738760122545],[-110.87946897195486,56.22738760122545],[-110.87946897195486,56.228287314913025],[-110.88107715955086,56.228287314913025],[-110.88107715955086,56.22738760122545]]]}"
2016_01_01_00000000000000000002,16902.764705882357,16942.529411764706,16991.882352941175,2016-01-01 00:00:00,1.563982989E12,Y-30-329-CT,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.68664829797203,55.86057748946798],[-110.68505532763487,55.86057748946798],[-110.68505532763487,55.86147720315552],[-110.68664829797203,55.86147720315552],[-110.68664829797203,55.86057748946798]]]}"
2016_01_01_00000000000000000003,16924.0,16944.0,16981.0,2016-01-01 00:00:00,1.563982989E12,BG-6-94,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.86910045839983,56.24857724943142],[-110.86749138083357,56.24857724943142],[-110.86749138083357,56.249476963119],[-110.86910045839983,56.249476963119],[-110.86910045839983,56.24857724943142]]]}"
2016_01_01_00000000000000000004,16904.764705882353,16953.235294117647,17010.117647058825,2016-01-01 00:00:00,1.563982989E12,Y-21-280-NW,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.80338623208884,56.01263729449153],[-110.80178699652578,56.01263729449153],[-110.80178699652578,56.01353700817908],[-110.80338623208884,56.01353700817908],[-110.80338623208884,56.01263729449153]]]}"
2016_01_01_00000000000000000005,16897.666666666668,16935.666666666664,16987.666666666668,2016-01-01 00:00:00,1.563982989E12,BG-7-29,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.93414751677483,55.704201274624694],[-110.93256092690662,55.704201274624694],[-110.93256092690662,55.705100988312225],[-110.93414751677483,55.705100988312225],[-110.93414751677483,55.704201274624694]]]}"
2016_01_01_00000000000000000006,16892.0,16934.764705882353,17006.058823529413,2016-01-01 00:00:00,1.563982989E12,Y-14-391-SW,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.7603447934065,55.115136189060316],[-111.75878168313506,55.115136189060316],[-111.75878168313506,55.116035902747804],[-111.7603447934065,55.116035902747804],[-111.7603447934065,55.115136189060316]]]}"
2016_01_01_00000000000000000007,16881.0,16928.0,16992.0,2016-01-01 00:00:00,1.563982989E12,Y-31-331-NW,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.55518626086683,55.91812664766374],[-110.55359092647079,55.91812664766374],[-110.55359092647079,55.919026361351285],[-110.55518626086683,55.919026361351285],[-110.55518626086683,55.91812664766374]]]}"
2016_01_01_00000000000000000008,16928.5,16951.0,17014.0,2016-01-01 00:00:00,1.563982989E12,Y-24-234-A,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.55140411915704,57.41984932313997],[-111.54974390684654,57.41984932313997],[-111.54974390684654,57.42074903682763],[-111.55140411915704,57.42074903682763],[-111.55140411915704,57.41984932313997]]]}"
2016_01_01_00000000000000000009,16896.0,16926.0,16992.0,2016-01-01 00:00:00,1.563982989E12,BG-9-29,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.44431816487514,54.82181652176467],[-111.44276642820837,54.82181652176467],[-111.44276642820837,54.82271623545213],[-111.44431816487514,54.82271623545213],[-111.44431816487514,54.82181652176467]]]}"
2016_01_01_0000000000000000000a,16913.0,16933.0,17002.0,2016-01-01 00:00:00,1.563982989E12,BG-9-3,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.50134990855535,54.81353597110843],[-111.49979848998036,54.81353597110843],[-111.49979848998036,54.814435684795896],[-111.50134990855535,54.814435684795896],[-111.50134990855535,54.81353597110843]]]}"
2016_01_01_0000000000000000000b,16914.0,16933.0,16968.0,2016-01-01 00:00:00,1.563982989E12,OG-10-37-E,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.78177399022304,55.051384421299204],[-111.7802133695974,55.051384421299204],[-111.7802133695974,55.05228413498669],[-111.78177399022304,55.05228413498669],[-111.78177399022304,55.051384421299204]]]}"
2016_01_01_0000000000000000000c,16909.0,16934.0,16987.0,2016-01-01 00:00:00,1.563982989E12,BG-9-84,1.4516064E12,2016,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.48860661643857,54.85618281358358],[-111.48705355787163,54.85618281358358],[-111.48705355787163,54.85708252727105],[-111.48860661643857,54.85708252727105],[-111.48860661643857,54.85618281358358]]]}"
