system:index,Greenup_1,MidGreenup_1,Peak_1,datetime,google:max_source_file_timestamp,location,timestamp,.geo
2016_01_01_00000000000000000000,16894.0,16931.0,16996.0,2016-01-01 00:00:00,1.563982989E12,538,1.4516064E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-112.45363054516173,56.548982428301],[-112.45200871970422,56.548982428301],[-112.45200871970422,56.549882141988604],[-112.45363054516173,56.549882141988604],[-112.45363054516173,56.548982428301]]]}"
2016_01_01_00000000000000000001,16922.0,16946.0,16992.0,2016-01-01 00:00:00,1.563982989E12,122,1.4516064E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.10844634908854,58.934779855936476],[-111.10671385561409,58.934779855936476],[-111.10671385561409,58.93567956962428],[-111.10844634908854,58.93567956962428],[-111.10844634908854,58.934779855936476]]]}"
2016_01_01_00000000000000000002,16930.0,16951.0,17004.0,2016-01-01 00:00:00,1.563982989E12,65,1.4516064E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.95447439721241,59.317825554629565],[-110.95272242139345,59.317825554629565],[-110.95272242139345,59.318725268317394],[-110.95447439721241,59.318725268317394],[-110.95447439721241,59.317825554629565]]]}"
2016_01_01_00000000000000000003,16908.0,16935.0,17023.0,2016-01-01 00:00:00,1.563982989E12,272,1.4516064E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.46712003773082,57.99314702737935],[-110.46543333087558,57.99314702737935],[-110.46543333087558,57.994046741067066],[-110.46712003773082,57.994046741067066],[-110.46712003773082,57.99314702737935]]]}"
2016_01_01_00000000000000000004,16930.666666666664,16956.222222222223,17004.333333333332,2016-01-01 00:00:00,1.563982989E12,301,1.4516064E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-110.83991018294451,57.81860443484433],[-110.83823164938417,57.81860443484433],[-110.83823164938417,57.81950414853205],[-110.83991018294451,57.81950414853205],[-110.83991018294451,57.81860443484433]]]}"
2016_01_01_00000000000000000005,16918.066666666666,16959.6,17007.06666666667,2016-01-01 00:00:00,1.563982989E12,1539,1.4516064E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.80946817185219,50.22147344245119],[-111.80807092828557,50.22147344245119],[-111.80807092828557,50.22237315613837],[-111.80946817185219,50.22237315613837],[-111.80946817185219,50.22147344245119]]]}"
2016_01_01_00000000000000000007,16936.0,16954.0,17008.0,2016-01-01 00:00:00,1.563982989E12,64,1.4516064E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.28495624630199,59.31913207123822],[-111.28320420314708,59.31913207123822],[-111.28320420314708,59.320031784926044],[-111.28495624630199,59.320031784926044],[-111.28495624630199,59.31913207123822]]]}"
2016_01_01_00000000000000000008,16942.0,16952.0,16991.0,2016-01-01 00:00:00,1.563982989E12,92,1.4516064E12,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-111.37297998541472,59.18737009420997],[-111.37123470256321,59.18737009420997],[-111.37123470256321,59.188269807897775],[-111.37297998541472,59.188269807897775],[-111.37297998541472,59.18737009420997]]]}"
